date,variant,prop_median,prop_ci_low,prop_ci_high
2021-12-29,B.1.1.7 (Alpha),1.2340534609693314e-4,4.1625626314337336e-5,3.1259567568330844e-4
2021-12-29,B.1.617.2 (Delta),0.5784265533304918,0.35674407682587184,0.7658181138843024
2021-12-30,B.1.1.529 (Omikron),0.4738162946104746,0.2739628507521318,0.6960706125673095
2021-12-30,B.1.1.7 (Alpha),1.1295933919777412e-4,3.736746833975977e-5,2.964528095400498e-4
2021-12-30,B.1.617.2 (Delta),0.5260470188559361,0.3038112050445654,0.7257449430455778
2021-12-31,B.1.1.529 (Omikron),0.5279661311835999,0.3116690954856114,0.7457101119517711
2021-12-31,B.1.1.7 (Alpha),1.0184345422707591e-4,3.313291887170913e-5,2.7415685156250016e-4
2021-12-31,B.1.617.2 (Delta),0.47191471331678625,0.25420050116105203,0.6882550846323343
2022-01-01,B.1.1.529 (Omikron),0.5809759058647315,0.35334010380024355,0.7904593980579054
2022-01-01,B.1.1.7 (Alpha),9.204521518053107e-5,2.8348269297460732e-5,2.562338538787867e-4
2022-01-01,B.1.617.2 (Delta),0.4189423598447536,0.2095234269790332,0.6465657035277744
2022-01-02,B.1.1.529 (Omikron),0.6296325100016412,0.39996362679335923,0.830027760297207
2022-01-02,B.1.1.7 (Alpha),8.161258549795683e-5,2.435096948125156e-5,2.370129795514863e-4
2022-01-02,B.1.617.2 (Delta),0.3702006525970031,0.16994152167123824,0.5999335416806085
2022-01-03,B.1.1.529 (Omikron),0.6770266009879853,0.4450384416486875,0.8620164961631979
2022-01-03,B.1.1.7 (Alpha),7.076303853942622e-5,2.0373085957820187e-5,2.1522124785731234e-4
2022-01-03,B.1.617.2 (Delta),0.3229172223594814,0.13793309992133432,0.554843912122877
2022-01-04,B.1.1.529 (Omikron),0.721674058417163,0.491978701586545,0.8887100776424146
2022-01-04,B.1.1.7 (Alpha),6.114386634247974e-5,1.672763114705929e-5,1.903312652662318e-4
2022-01-04,B.1.617.2 (Delta),0.2782792928236615,0.11126559601155687,0.5079895134399834
2022-01-05,B.1.1.529 (Omikron),0.762149044557877,0.5398611752947137,0.9109180980334911
2022-01-05,B.1.1.7 (Alpha),5.315195724154369e-5,1.3464338077542917e-5,1.660585796308496e-4
2022-01-05,B.1.617.2 (Delta),0.23780758599183868,0.08906010663975761,0.460020618229809
2022-01-06,B.1.1.529 (Omikron),0.7994096839090965,0.5857716816128556,0.9281611132482842
2022-01-06,B.1.1.7 (Alpha),4.562133419374198e-5,1.0939001800286503e-5,1.4788551692890517e-4
2022-01-06,B.1.617.2 (Delta),0.2005204137911007,0.07182874572835288,0.41415785650972486
2022-01-07,B.1.1.529 (Omikron),0.8321810730309551,0.6330667246893462,0.942544735253029
